character,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality
神里绫华,0.13265306122448978,0.08163265306122448,0.3277591973244147,0.04579786545118128,0.043603973319736616
早柚,0.08163265306122448,0.1020408163265306,0.2776203966005666,0.00782212593347925,0.024437925803447908
鹿野院平藏,0.08163265306122448,0.08163265306122448,0.32131147540983607,0.00484474187517325,0.027935576207918845
宵宫,0.1020408163265306,0.11224489795918366,0.29878048780487804,0.023743604729961593,0.03585031140230375
托马,0.07142857142857142,0.12244897959183673,0.2752808988764045,0.021213421717035823,0.025602902518565628
雷电将军,0.1530612244897959,0.11224489795918366,0.3391003460207612,0.05634205920789611,0.04657837852682895
九条裟罗,0.14285714285714285,0.11224489795918366,0.32996632996632996,0.011858902307693073,0.04587230338861275
神里绫人,0.061224489795918366,0.1020408163265306,0.27450980392156865,0.008006755530604917,0.02184559596545349
八重神子,0.14285714285714285,0.13265306122448978,0.32450331125827814,0.04669956611955955,0.041087030424686824
琴,0.19387755102040816,0.12244897959183673,0.3858267716535433,0.03198889061062782,0.21153325514256938
优菈,0.08163265306122448,0.11224489795918366,0.34507042253521125,0.03716825859164177,0.09418258034199711
丽莎,0.19387755102040816,0.14285714285714285,0.3769230769230769,0.07222158290396927,0.18891376704984436
芭芭拉,0.11224489795918366,0.09183673469387754,0.34146341463414637,0.00987987715237525,0.1193546950210682
诺艾尔,0.07142857142857142,0.07142857142857142,0.30914826498422715,0.0009611783431022165,0.09625984895398725
罗莎莉亚,0.0510204081632653,0.09183673469387754,0.28823529411764703,0.0027655671713635544,0.05833656936857999
砂糖,0.061224489795918366,0.09183673469387754,0.32131147540983607,0.0021690529011115854,0.09517234596141487
米卡,0.0510204081632653,0.08163265306122448,0.310126582278481,0.0019730616173898093,0.07744731900437506
阿贝多,0.12244897959183673,0.061224489795918366,0.35507246376811596,0.040151417490394366,0.15356787531708496
可莉,0.1530612244897959,0.11224489795918366,0.3656716417910448,0.02270350807949883,0.1535645785208335
凯亚,0.13265306122448978,0.14285714285714285,0.3356164383561644,0.026167944592666383,0.1323606383151906
迪卢克,0.12244897959183673,0.061224489795918366,0.34265734265734266,0.005476186534066759,0.13557852053131964
安柏,0.11224489795918366,0.1020408163265306,0.3277591973244147,0.018368788924530425,0.13315980741723127
赛诺,0.13265306122448978,0.09183673469387754,0.35766423357664234,0.023369743849444267,0.060257742075707
柯莱,0.09183673469387754,0.11224489795918366,0.35,0.06299625170229611,0.07388051808216581
菲谢尔,0.061224489795918366,0.0510204081632653,0.2934131736526946,0.00246187421443098,0.06631539789315292
莫娜,0.061224489795918366,0.07142857142857142,0.3288590604026846,0.006212825229716628,0.0680862572867786
雷泽,0.0510204081632653,0.061224489795918366,0.3277591973244147,0.003048069748873842,0.06246376442183806
班尼特,0.061224489795918366,0.07142857142857142,0.28405797101449276,0.0008914126514312753,0.06430108464577583
温迪,0.11224489795918366,0.1020408163265306,0.38735177865612647,0.06405237913056229,0.11212444157759041
塔利雅,0.04081632653061224,0.07142857142857142,0.30340557275541796,0.0009172166643246369,0.04301301911233698
迪奥娜,0.061224489795918366,0.09183673469387754,0.35379061371841153,0.030280253434117683,0.0867796052933286
芙宁娜,0.1530612244897959,0.09183673469387754,0.47115384615384615,0.08398753919528983,0.1251859222737018
香菱,0.1530612244897959,0.14285714285714285,0.38735177865612647,0.11586625981262902,0.22394303071399904
凝光,0.14285714285714285,0.13265306122448978,0.3462897526501767,0.026746228488703127,0.23841285832596448
北斗,0.1530612244897959,0.08163265306122448,0.358974358974359,0.03948063574937897,0.20713212192412409
钟离,0.16326530612244897,0.1020408163265306,0.3462897526501767,0.043776288671578914,0.2551394495678503
夜兰,0.08163265306122448,0.08163265306122448,0.3181818181818182,0.007366625964796853,0.15251739835922376
瑶瑶,0.07142857142857142,0.1020408163265306,0.30914826498422715,0.00804457331414144,0.12778766560468907
白术,0.09183673469387754,0.09183673469387754,0.29518072289156627,0.027558991618351625,0.14423024613565222
重云,0.07142857142857142,0.09183673469387754,0.30340557275541796,0.0022633015535471436,0.10792835676397976
嘉明,0.061224489795918366,0.12244897959183673,0.30246913580246915,0.01143095337535557,0.0885812093819804
甘雨,0.13265306122448978,0.11224489795918366,0.358974358974359,0.023166033580581055,0.2213504929467084
爱可菲,0.08163265306122448,0.1020408163265306,0.3843137254901961,0.11925023351707126,0.07337425976503574
胡桃,0.13265306122448978,0.13265306122448978,0.3202614379084967,0.011391267532392835,0.20029178326297273
蓝砚,0.04081632653061224,0.07142857142857142,0.29080118694362017,0.0010332027821356084,0.07187234275572812
辛焱,0.08163265306122448,0.09183673469387754,0.3181818181818182,0.0060104061032315,0.12882584583797468
行秋,0.12244897959183673,0.13265306122448978,0.3333333333333333,0.04652070225169044,0.1898049491498712
云堇,0.09183673469387754,0.08163265306122448,0.28994082840236685,0.012971637050075065,0.14601115082093
申鹤,0.09183673469387754,0.11224489795918366,0.2996941896024465,0.0039083694480956084,0.15603185978304565
七七,0.08163265306122448,0.0510204081632653,0.28488372093023256,0.0023081833338551134,0.10843154844143928
魈,0.11224489795918366,0.08163265306122448,0.2890855457227139,0.008673306955695258,0.18913933056749688
枫原万叶,0.09183673469387754,0.08163265306122448,0.3277591973244147,0.03627571819428989,0.0542201551294773
烟绯,0.08163265306122448,0.1020408163265306,0.3234323432343234,0.04199635027274044,0.13379357072153808
闲云,0.061224489795918366,0.11224489795918366,0.28160919540229884,0.002190802630632178,0.11077615057309007
刻晴,0.12244897959183673,0.13265306122448978,0.29878048780487804,0.008458975006558365,0.19263396844515357
达达利亚,0.0510204081632653,0.04081632653061224,0.32450331125827814,0.031698634808060684,0.04673850587564992
丝柯克,0.01020408163265306,0.030612244897959183,0.24561403508771928,0.0023239656399780344,0.004761799842400348
阿蕾奇诺,0.0510204081632653,0.061224489795918366,0.3487544483985765,0.013755647667106663,0.0351999523565203
流浪者,0.030612244897959183,0.07142857142857142,0.3052959501557632,0.038646237528894574,0.011133821125745184
久岐忍,0.061224489795918366,0.061224489795918366,0.3111111111111111,0.024516379533640078,0.031199859902704238
五郎,0.061224489795918366,0.09183673469387754,0.2752808988764045,0.0021995961813726286,0.023244334601387622
珊瑚宫心海,0.07142857142857142,0.08163265306122448,0.28405797101449276,0.009142453962187772,0.025925121536627266
荒泷一斗,0.1020408163265306,0.09183673469387754,0.30340557275541796,0.006892481381170022,0.033105419610775975
绮良良,0.061224489795918366,0.07142857142857142,0.33676975945017185,0.03750070252266903,0.02452194183496868
梦见月瑞希,0.061224489795918366,0.1020408163265306,0.2737430167597765,0.06782102354308847,0.015519943440105268
提纳里,0.12244897959183673,0.11224489795918366,0.3783783783783784,0.07611304572789378,0.06038389831742454
艾尔海森,0.09183673469387754,0.07142857142857142,0.32450331125827814,0.0021885183088467728,0.029757506525949766
多莉,0.1020408163265306,0.09183673469387754,0.35125448028673834,0.07638305332106464,0.033842266043132646
莱依拉,0.04081632653061224,0.08163265306122448,0.2792022792022792,0.00719605338348948,0.011774395225787064
珐露珊,0.07142857142857142,0.08163265306122448,0.3223684210526316,0.0037188076847447815,0.031415300774693594
赛索斯,0.061224489795918366,0.09183673469387754,0.3006134969325153,0.013717322493531957,0.019048098920229597
卡维,0.09183673469387754,0.08163265306122448,0.32996632996632996,0.00214132124882271,0.039503767555701175
纳西妲,0.13265306122448978,0.1020408163265306,0.36704119850187267,0.06404527186363534,0.04349329946430905
迪希雅,0.061224489795918366,0.09183673469387754,0.29253731343283584,0.0059730582982169995,0.018719336906847975
妮露,0.09183673469387754,0.07142857142857142,0.30246913580246915,0.0030257163839314417,0.03565132297137269
瓦雷莎,0.07142857142857142,0.08163265306122448,0.3391003460207612,0.10751752287983747,0.01423659653684709
坎蒂丝,0.030612244897959183,0.061224489795918366,0.2419753086419753,0.00020239206496183512,0.005047558085812999
林尼,0.13265306122448978,0.09183673469387754,0.3656716417910448,0.011501443719014176,0.08779617669885219
千织,0.09183673469387754,0.09183673469387754,0.310126582278481,0.031697605863207974,0.05959378418548873
娜维娅,0.12244897959183673,0.1020408163265306,0.3602941176470588,0.011401651046201,0.08905849379391768
夏洛蒂,0.12244897959183673,0.11224489795918366,0.36162361623616235,0.01608558200785833,0.08805585534610838
那维莱特,0.14285714285714285,0.07142857142857142,0.3712121212121212,0.012904773270231646,0.08661989754911543
琳妮特,0.1020408163265306,0.1020408163265306,0.36162361623616235,0.012024689576277938,0.07461005100889834
艾梅莉埃,0.09183673469387754,0.09183673469387754,0.30434782608695654,0.039301699221079345,0.06287337984901883
菲米尼,0.07142857142857142,0.08163265306122448,0.2890855457227139,0.0008855101656901894,0.04520212678076027
克洛琳德,0.11224489795918366,0.11224489795918366,0.35,0.009932919228212113,0.08257730950633964
夏沃蕾,0.0510204081632653,0.11224489795918366,0.2776203966005666,0.0015278779093762043,0.03320656147816581
希格雯,0.061224489795918366,0.11224489795918366,0.2996941896024465,0.006260682448629464,0.04221358868439572
莱欧斯利,0.1020408163265306,0.08163265306122448,0.35766423357664234,0.006715817672109926,0.07567570452570324
卡齐娜,0.07142857142857142,0.07142857142857142,0.22897196261682243,0.00011253736795499892,0.00407895801787867
伊安珊,0.09183673469387754,0.07142857142857142,0.27450980392156865,0.00364542797945659,0.0058401475300166724
恰斯卡,0.07142857142857142,0.08163265306122448,0.22897196261682243,8.265456403474496e-05,0.003759212578819998
伊法,0.07142857142857142,0.08163265306122448,0.22897196261682243,0.008168483689207444,0.003759212578819998
希诺宁,0.1020408163265306,0.09183673469387754,0.2752808988764045,0.00782696509411098,0.006187743880499467
基尼奇,0.1020408163265306,0.09183673469387754,0.2752808988764045,0.007885639225769252,0.006187743880499467
玛拉妮,0.09183673469387754,0.1020408163265306,0.2890855457227139,0.023172833906274403,0.007054918531417232
茜特菈莉,0.1020408163265306,0.08163265306122448,0.2752808988764045,0.02478853556567454,0.006187743880499467
玛薇卡,0.1020408163265306,0.11224489795918366,0.28994082840236685,0.030720714175887072,0.0072456167768768925
欧洛伦,0.04081632653061224,0.07142857142857142,0.2273781902552204,9.208245059286507e-05,0.002382123332231917
